City,State,Year,Median_Income
Birmingham city,Alabama,2010,30212
Dothan city,Alabama,2010,39806
Hoover city,Alabama,2010,69359
Huntsville city,Alabama,2010,44419
Mobile city,Alabama,2010,37438
Montgomery city,Alabama,2010,41380
Tuscaloosa city,Alabama,2010,35838
Anchorage municipality,Alaska,2010,72128
Avondale city,Arizona,2010,61369
Chandler city,Arizona,2010,67648
Flagstaff city,Arizona,2010,45042
Gilbert town,Arizona,2010,77866
Glendale city,Arizona,2010,45699
Goodyear city,Arizona,2010,71030
Mesa city,Arizona,2010,44747
Peoria city,Arizona,2010,53848
Phoenix city,Arizona,2010,42260
San Tan Valley CDP,Arizona,2010,59434
Scottsdale city,Arizona,2010,68824
Surprise city,Arizona,2010,57114
Tempe city,Arizona,2010,45151
Tucson city,Arizona,2010,36428
Yuma city,Arizona,2010,45789
Fayetteville city,Arkansas,2010,32908
Fort Smith city,Arkansas,2010,37856
Jonesboro city,Arkansas,2010,34329
Little Rock city,Arkansas,2010,44415
Springdale city,Arkansas,2010,40256
Alameda city,California,2010,68731
Alhambra city,California,2010,49435
Anaheim city,California,2010,54157
Antioch city,California,2010,62088
Apple Valley town,California,2010,46250
Arden-Arcade CDP,California,2010,41476
Bakersfield city,California,2010,53038
Baldwin Park city,California,2010,43546
Bellflower city,California,2010,47024
Berkeley city,California,2010,56623
Buena Park city,California,2010,61262
Burbank city,California,2010,61520
Camarillo city,California,2010,72193
Carlsbad city,California,2010,77097
Carson city,California,2010,67192
Chico city,California,2010,44062
Chino city,California,2010,70942
Chino Hills city,California,2010,100099
Chula Vista city,California,2010,66246
Citrus Heights city,California,2010,50280
Clovis city,California,2010,65471
Compton city,California,2010,43728
Concord city,California,2010,65695
Corona city,California,2010,74015
Costa Mesa city,California,2010,63570
Daly City city,California,2010,72307
Davis city,California,2010,58771
Downey city,California,2010,53490
East Los Angeles CDP,California,2010,38986
El Cajon city,California,2010,43435
Elk Grove city,California,2010,75590
El Monte city,California,2010,41076
Escondido city,California,2010,43102
Fairfield city,California,2010,61603
Folsom city,California,2010,93620
Fontana city,California,2010,58579
Fremont city,California,2010,87385
Fresno city,California,2010,41144
Fullerton city,California,2010,65360
Garden Grove city,California,2010,60974
Glendale city,California,2010,51923
Hawthorne city,California,2010,41541
Hayward city,California,2010,59890
Hemet city,California,2010,31739
Hesperia city,California,2010,42651
Huntington Beach city,California,2010,72469
Indio city,California,2010,36355
Inglewood city,California,2010,40761
Irvine city,California,2010,85615
Lake Forest city,California,2010,91670
Lakewood city,California,2010,73793
Lancaster city,California,2010,50492
Livermore city,California,2010,95941
Long Beach city,California,2010,51426
Los Angeles city,California,2010,47031
Lynwood city,California,2010,38417
Manteca city,California,2010,57082
Menifee city,California,2010,52739
Merced city,California,2010,39834
Milpitas city,California,2010,92398
Mission Viejo city,California,2010,92838
Modesto city,California,2010,47983
Moreno Valley city,California,2010,48907
Mountain View city,California,2010,90993
Murrieta city,California,2010,70962
Napa city,California,2010,52991
Newport Beach city,California,2010,97140
Norwalk city,California,2010,57149
Oakland city,California,2010,49190
Oceanside city,California,2010,62422
Ontario city,California,2010,53764
Orange city,California,2010,72784
Oxnard city,California,2010,61316
Palmdale city,California,2010,53048
Pasadena city,California,2010,67047
Perris city,California,2010,45251
Pittsburg city,California,2010,56663
Pleasanton city,California,2010,109662
Pomona city,California,2010,45909
Rancho Cucamonga city,California,2010,76640
Redding city,California,2010,40741
Redlands city,California,2010,71758
Redondo Beach city,California,2010,90507
Redwood City city,California,2010,76468
Rialto city,California,2010,46818
Richmond city,California,2010,46996
Riverside city,California,2010,53847
Roseville city,California,2010,69932
Sacramento city,California,2010,46731
Salinas city,California,2010,47738
San Bernardino city,California,2010,38640
San Buenaventura (Ventura) city,California,2010,60722
San Diego city,California,2010,60037
San Francisco city,California,2010,71745
San Jose city,California,2010,76794
San Leandro city,California,2010,65333
San Marcos city,California,2010,47942
San Mateo city,California,2010,82075
San Ramon city,California,2010,115347
Santa Ana city,California,2010,51467
Santa Barbara city,California,2010,61245
Santa Clara city,California,2010,81366
Santa Clarita city,California,2010,76384
Santa Maria city,California,2010,51450
Santa Monica city,California,2010,66269
Santa Rosa city,California,2010,54666
Simi Valley city,California,2010,84507
South Gate city,California,2010,39739
Stockton city,California,2010,45606
Sunnyvale city,California,2010,95582
Temecula city,California,2010,70194
Thousand Oaks city,California,2010,95281
Torrance city,California,2010,69288
Tracy city,California,2010,70894
Turlock city,California,2010,53605
Tustin city,California,2010,73889
Union City city,California,2010,77745
Upland city,California,2010,61497
Vacaville city,California,2010,71706
Vallejo city,California,2010,56209
Victorville city,California,2010,52062
Visalia city,California,2010,51464
Vista city,California,2010,46033
West Covina city,California,2010,62413
Westminster city,California,2010,49889
Whittier city,California,2010,60540
Yorba Linda city,California,2010,100788
Arvada city,Colorado,2010,61046
Aurora city,Colorado,2010,50358
Boulder city,Colorado,2010,52618
Centennial city,Colorado,2010,79690
Colorado Springs city,Colorado,2010,49929
Denver city,Colorado,2010,45074
Fort Collins city,Colorado,2010,47752
Greeley city,Colorado,2010,42404
Highlands Ranch CDP,Colorado,2010,105237
Lakewood city,Colorado,2010,51937
Longmont city,Colorado,2010,52922
Loveland city,Colorado,2010,54062
Pueblo city,Colorado,2010,34415
Thornton city,Colorado,2010,62512
Westminster city,Colorado,2010,60242
Bridgeport city,Connecticut,2010,38919
Danbury city,Connecticut,2010,58124
Hartford city,Connecticut,2010,26499
New Britain city,Connecticut,2010,36784
New Haven city,Connecticut,2010,35122
Norwalk city,Connecticut,2010,67848
Stamford city,Connecticut,2010,66617
Waterbury city,Connecticut,2010,38672
Wilmington city,Delaware,2010,32884
Washington city,District of Columbia,2010,60903
Alafaya CDP,Florida,2010,56666
Boca Raton city,Florida,2010,68393
Boynton Beach city,Florida,2010,39485
Brandon CDP,Florida,2010,52228
Cape Coral city,Florida,2010,44803
Clearwater city,Florida,2010,37841
Coral Springs city,Florida,2010,65348
Davie town,Florida,2010,58175
Deerfield Beach city,Florida,2010,33726
Deltona city,Florida,2010,50682
Fort Lauderdale city,Florida,2010,43320
Fort Myers city,Florida,2010,31835
Gainesville city,Florida,2010,31132
Hialeah city,Florida,2010,29296
Hollywood city,Florida,2010,41188
Jacksonville city,Florida,2010,45584
Kendall CDP,Florida,2010,54673
Lakeland city,Florida,2010,36754
Largo city,Florida,2010,39139
Lauderhill city,Florida,2010,32478
Lehigh Acres CDP,Florida,2010,43590
Melbourne city,Florida,2010,41254
Miami city,Florida,2010,27291
Miami Beach city,Florida,2010,38640
Miami Gardens city,Florida,2010,39571
Miramar city,Florida,2010,61474
Orlando city,Florida,2010,38098
Palm Bay city,Florida,2010,41591
Palm Coast city,Florida,2010,42894
Pembroke Pines city,Florida,2010,61163
Plantation city,Florida,2010,53547
Pompano Beach city,Florida,2010,36122
Port St. Lucie city,Florida,2010,44560
Riverview CDP,Florida,2010,61064
St. Petersburg city,Florida,2010,43728
Spring Hill CDP,Florida,2010,39227
Sunrise city,Florida,2010,50193
Tallahassee city,Florida,2010,35911
Tampa city,Florida,2010,40883
Town 'n' Country CDP,Florida,2010,46914
Weston city,Florida,2010,78030
West Palm Beach city,Florida,2010,41139
Albany city,Georgia,2010,25191
Athens-Clarke County unified government (balance),Georgia,2010,33853
Atlanta city,Georgia,2010,41631
Augusta-Richmond County consolidated government (balance),Georgia,2010,39120
Columbus city,Georgia,2010,35384
Johns Creek city,Georgia,2010,106132
Macon city,Georgia,2010,24513
Roswell city,Georgia,2010,67368
Sandy Springs city,Georgia,2010,59110
Savannah city,Georgia,2010,32562
Warner Robins city,Georgia,2010,45129
Urban Honolulu CDP,Hawaii,2010,54828
Boise City city,Idaho,2010,44410
Meridian city,Idaho,2010,60230
Nampa city,Idaho,2010,41360
Arlington Heights village,Illinois,2010,68613
Aurora city,Illinois,2010,60786
Bloomington city,Illinois,2010,57151
Bolingbrook village,Illinois,2010,77018
Champaign city,Illinois,2010,40277
Chicago city,Illinois,2010,44776
Cicero town,Illinois,2010,45731
Decatur city,Illinois,2010,32833
Elgin city,Illinois,2010,54607
Evanston city,Illinois,2010,60424
Joliet city,Illinois,2010,54642
Naperville city,Illinois,2010,98816
Palatine village,Illinois,2010,68993
Peoria city,Illinois,2010,48913
Rockford city,Illinois,2010,36178
Schaumburg village,Illinois,2010,62395
Skokie village,Illinois,2010,62405
Springfield city,Illinois,2010,44598
Waukegan city,Illinois,2010,43955
Bloomington city,Indiana,2010,25406
Carmel city,Indiana,2010,103667
Evansville city,Indiana,2010,33039
Fishers town,Indiana,2010,84254
Fort Wayne city,Indiana,2010,42609
Gary city,Indiana,2010,27610
Hammond city,Indiana,2010,37308
Indianapolis city (balance),Indiana,2010,38502
Lafayette city,Indiana,2010,34056
Muncie city,Indiana,2010,29237
South Bend city,Indiana,2010,32511
Cedar Rapids city,Iowa,2010,51186
Davenport city,Iowa,2010,38961
Des Moines city,Iowa,2010,42986
Iowa City city,Iowa,2010,39887
Sioux City city,Iowa,2010,40781
Waterloo city,Iowa,2010,37110
Kansas City city,Kansas,2010,36677
Lawrence city,Kansas,2010,45471
Olathe city,Kansas,2010,69687
Overland Park city,Kansas,2010,69490
Topeka city,Kansas,2010,37001
Wichita city,Kansas,2010,42694
Lexington-Fayette urban county,Kentucky,2010,44895
Louisville/Jefferson County metro government (balance),Kentucky,2010,40730
Baton Rouge city,Louisiana,2010,33748
Kenner city,Louisiana,2010,48371
Lafayette city,Louisiana,2010,44204
Lake Charles city,Louisiana,2010,35314
Metairie CDP,Louisiana,2010,46399
New Orleans city,Louisiana,2010,37726
Shreveport city,Louisiana,2010,32848
Portland city,Maine,2010,45525
Baltimore city,Maryland,2010,38346
Columbia CDP,Maryland,2010,90312
Ellicott City CDP,Maryland,2010,102986
Frederick city,Maryland,2010,67286
Germantown CDP,Maryland,2010,87165
Silver Spring CDP,Maryland,2010,62187
Waldorf CDP,Maryland,2010,77475
Boston city,Massachusetts,2010,49893
Brockton city,Massachusetts,2010,47472
Cambridge city,Massachusetts,2010,64790
Fall River city,Massachusetts,2010,30720
Framingham CDP,Massachusetts,2010,73137
Lawrence city,Massachusetts,2010,31459
Lowell city,Massachusetts,2010,51528
Lynn city,Massachusetts,2010,42468
New Bedford city,Massachusetts,2010,31616
Newton city,Massachusetts,2010,104486
Quincy city,Massachusetts,2010,55735
Somerville city,Massachusetts,2010,54491
Springfield city,Massachusetts,2010,35236
Worcester city,Massachusetts,2010,42887
Ann Arbor city,Michigan,2010,52711
Dearborn city,Michigan,2010,43505
Detroit city,Michigan,2010,25787
Farmington Hills city,Michigan,2010,60562
Flint city,Michigan,2010,22672
Grand Rapids city,Michigan,2010,36128
Kalamazoo city,Michigan,2010,31421
Lansing city,Michigan,2010,34770
Livonia city,Michigan,2010,65391
Rochester Hills city,Michigan,2010,68386
Southfield city,Michigan,2010,47197
Sterling Heights city,Michigan,2010,53390
Troy city,Michigan,2010,77827
Warren city,Michigan,2010,41587
Westland city,Michigan,2010,39657
Wyoming city,Michigan,2010,40454
Bloomington city,Minnesota,2010,56407
Brooklyn Park city,Minnesota,2010,56486
Duluth city,Minnesota,2010,37646
Minneapolis city,Minnesota,2010,46508
Plymouth city,Minnesota,2010,81054
Rochester city,Minnesota,2010,56826
St. Cloud city,Minnesota,2010,39782
St. Paul city,Minnesota,2010,44057
Gulfport city,Mississippi,2010,36104
Jackson city,Mississippi,2010,34699
Columbia city,Missouri,2010,35793
Independence city,Missouri,2010,40895
Kansas City city,Missouri,2010,42780
Lee's Summit city,Missouri,2010,70442
O'Fallon city,Missouri,2010,70258
St. Charles city,Missouri,2010,50154
St. Joseph city,Missouri,2010,39510
St. Louis city,Missouri,2010,32688
Springfield city,Missouri,2010,28697
Billings city,Montana,2010,45941
Missoula city,Montana,2010,40604
Lincoln city,Nebraska,2010,47526
Omaha city,Nebraska,2010,43813
Enterprise CDP,Nevada,2010,66699
Henderson city,Nevada,2010,61861
Las Vegas city,Nevada,2010,50783
North Las Vegas city,Nevada,2010,52263
Paradise CDP,Nevada,2010,46199
Reno city,Nevada,2010,42008
Sparks city,Nevada,2010,50033
Spring Valley CDP,Nevada,2010,50896
Sunrise Manor CDP,Nevada,2010,36017
Manchester city,New Hampshire,2010,53858
Nashua city,New Hampshire,2010,65135
Camden city,New Jersey,2010,28720
Clifton city,New Jersey,2010,58716
East Orange city,New Jersey,2010,36744
Elizabeth city,New Jersey,2010,43891
Jersey City city,New Jersey,2010,52950
Newark city,New Jersey,2010,32043
Passaic city,New Jersey,2010,28834
Paterson city,New Jersey,2010,32068
Toms River CDP,New Jersey,2010,74921
Trenton city,New Jersey,2010,38040
Union City city,New Jersey,2010,40761
Albuquerque city,New Mexico,2010,46079
Las Cruces city,New Mexico,2010,36202
Rio Rancho city,New Mexico,2010,53998
Santa Fe city,New Mexico,2010,44090
Albany city,New York,2010,33050
Buffalo city,New York,2010,28490
Cheektowaga CDP,New York,2010,46865
Mount Vernon city,New York,2010,46940
New Rochelle city,New York,2010,70232
New York city,New York,2010,48743
Rochester city,New York,2010,27711
Schenectady city,New York,2010,36232
Syracuse city,New York,2010,29621
Yonkers city,New York,2010,61831
Asheville city,North Carolina,2010,41392
Cary town,North Carolina,2010,88031
Charlotte city,North Carolina,2010,49616
Concord city,North Carolina,2010,47726
Durham city,North Carolina,2010,45525
Fayetteville city,North Carolina,2010,43257
Gastonia city,North Carolina,2010,34383
Greensboro city,North Carolina,2010,39622
Greenville city,North Carolina,2010,32827
High Point city,North Carolina,2010,40894
Jacksonville city,North Carolina,2010,40336
Raleigh city,North Carolina,2010,49931
Wilmington city,North Carolina,2010,40494
Winston-Salem city,North Carolina,2010,40401
Fargo city,North Dakota,2010,45199
Akron city,Ohio,2010,31171
Canton city,Ohio,2010,30232
Cincinnati city,Ohio,2010,34110
Cleveland city,Ohio,2010,25977
Columbus city,Ohio,2010,41397
Dayton city,Ohio,2010,28050
Lorain city,Ohio,2010,34346
Parma city,Ohio,2010,45386
Toledo city,Ohio,2010,31708
Youngstown city,Ohio,2010,23761
Broken Arrow city,Oklahoma,2010,60197
Edmond city,Oklahoma,2010,67013
Lawton city,Oklahoma,2010,41566
Norman city,Oklahoma,2010,44396
Oklahoma City city,Oklahoma,2010,44043
Tulsa city,Oklahoma,2010,38220
Beaverton city,Oregon,2010,54885
Bend city,Oregon,2010,46381
Eugene city,Oregon,2010,40701
Gresham city,Oregon,2010,47164
Hillsboro city,Oregon,2010,63618
Medford city,Oregon,2010,39825
Portland city,Oregon,2010,47185
Salem city,Oregon,2010,42898
Allentown city,Pennsylvania,2010,32192
Bethlehem city,Pennsylvania,2010,42232
Erie city,Pennsylvania,2010,28747
Philadelphia city,Pennsylvania,2010,34400
Pittsburgh city,Pennsylvania,2010,36196
Reading city,Pennsylvania,2010,25045
Scranton city,Pennsylvania,2010,35596
Cranston city,Rhode Island,2010,57649
Pawtucket city,Rhode Island,2010,33904
Providence city,Rhode Island,2010,37237
Warwick city,Rhode Island,2010,51037
Charleston city,South Carolina,2010,47009
Columbia city,South Carolina,2010,37041
Mount Pleasant town,South Carolina,2010,70636
North Charleston city,South Carolina,2010,38693
Rock Hill city,South Carolina,2010,39950
Rapid City city,South Dakota,2010,41653
Sioux Falls city,South Dakota,2010,47466
Chattanooga city,Tennessee,2010,35817
Clarksville city,Tennessee,2010,43326
Jackson city,Tennessee,2010,38169
Knoxville city,Tennessee,2010,29903
Memphis city,Tennessee,2010,37045
Murfreesboro city,Tennessee,2010,45158
Nashville-Davidson metropolitan government (balance),Tennessee,2010,42813
Abilene city,Texas,2010,40244
Allen city,Texas,2010,85799
Amarillo city,Texas,2010,44826
Arlington city,Texas,2010,48752
Atascocita CDP,Texas,2010,78764
Austin city,Texas,2010,47434
Baytown city,Texas,2010,46178
Beaumont city,Texas,2010,35174
Brownsville city,Texas,2010,30454
Bryan city,Texas,2010,30493
Carrollton city,Texas,2010,67069
College Station city,Texas,2010,35045
Corpus Christi city,Texas,2010,41845
Dallas city,Texas,2010,40650
Denton city,Texas,2010,44376
Edinburg city,Texas,2010,35845
El Paso city,Texas,2010,37278
Flower Mound town,Texas,2010,105637
Fort Worth city,Texas,2010,48224
Frisco city,Texas,2010,100686
Garland city,Texas,2010,52114
Grand Prairie city,Texas,2010,50030
Harlingen city,Texas,2010,34871
Houston city,Texas,2010,42355
Irving city,Texas,2010,46526
Killeen city,Texas,2010,47698
Laredo city,Texas,2010,35997
League City city,Texas,2010,90285
Lewisville city,Texas,2010,56756
Longview city,Texas,2010,37459
Lubbock city,Texas,2010,40712
McAllen city,Texas,2010,41018
McKinney city,Texas,2010,73826
Mesquite city,Texas,2010,46183
Midland city,Texas,2010,52258
Mission city,Texas,2010,42126
Missouri City city,Texas,2010,72010
North Richland Hills city,Texas,2010,54536
Odessa city,Texas,2010,43248
Pasadena city,Texas,2010,41280
Pearland city,Texas,2010,89133
Pharr city,Texas,2010,31286
Plano city,Texas,2010,79234
Richardson city,Texas,2010,64841
Round Rock city,Texas,2010,61106
San Angelo city,Texas,2010,36167
San Antonio city,Texas,2010,43758
Sugar Land city,Texas,2010,100632
Temple city,Texas,2010,48472
The Woodlands CDP,Texas,2010,91378
Tyler city,Texas,2010,39755
Waco city,Texas,2010,30947
Wichita Falls city,Texas,2010,36801
Layton city,Utah,2010,53876
Ogden city,Utah,2010,39078
Orem city,Utah,2010,49647
Provo city,Utah,2010,36949
St. George city,Utah,2010,46959
Salt Lake City city,Utah,2010,40219
Sandy city,Utah,2010,70931
West Jordan city,Utah,2010,66453
West Valley City city,Utah,2010,51421
Alexandria city,Virginia,2010,77793
Arlington CDP,Virginia,2010,94986
Centreville CDP,Virginia,2010,92643
Chesapeake city,Virginia,2010,68955
Dale City CDP,Virginia,2010,81096
Hampton city,Virginia,2010,51275
Lynchburg city,Virginia,2010,35156
Newport News city,Virginia,2010,50937
Norfolk city,Virginia,2010,41613
Portsmouth city,Virginia,2010,43674
Richmond city,Virginia,2010,39608
Roanoke city,Virginia,2010,37472
Suffolk city,Virginia,2010,69294
Virginia Beach city,Virginia,2010,64212
Auburn city,Washington,2010,57642
Bellevue city,Washington,2010,80500
Bellingham city,Washington,2010,39599
Everett city,Washington,2010,42440
Federal Way city,Washington,2010,53716
Kennewick city,Washington,2010,45215
Kent city,Washington,2010,48688
Renton city,Washington,2010,61819
Seattle city,Washington,2010,60212
Spokane city,Washington,2010,41146
Spokane Valley city,Washington,2010,44419
Tacoma city,Washington,2010,47465
Vancouver city,Washington,2010,47307
Yakima city,Washington,2010,37201
Appleton city,Wisconsin,2010,50076
Eau Claire city,Wisconsin,2010,41274
Green Bay city,Wisconsin,2010,41078
Kenosha city,Wisconsin,2010,42294
Madison city,Wisconsin,2010,50508
Milwaukee city,Wisconsin,2010,32911
Oshkosh city,Wisconsin,2010,41165
Racine city,Wisconsin,2010,33473
Waukesha city,Wisconsin,2010,53149
Caguas zona urbana,Puerto Rico,2010,21133
Carolina zona urbana,Puerto Rico,2010,28971
Guaynabo zona urbana,Puerto Rico,2010,39206
Ponce zona urbana,Puerto Rico,2010,16293
San Juan zona urbana,Puerto Rico,2010,23099
Bayamón zona urbana,Puerto Rico,2010,23934
Mayagüez zona urbana,Puerto Rico,2010,14563
Peoria city,Illinois,2011,41541
Rockford city,Illinois,2011,34024
Schaumburg village,Illinois,2011,66553
Skokie village,Illinois,2011,61357
Springfield city,Illinois,2011,44384
Waukegan city,Illinois,2011,42681
Bloomington city,Indiana,2011,24126
Carmel city,Indiana,2011,116874
Evansville city,Indiana,2011,35939
Fishers town,Indiana,2011,90330
Fort Wayne city,Indiana,2011,42277
Gary city,Indiana,2011,24956
Hammond city,Indiana,2011,35452
Indianapolis city (balance),Indiana,2011,39015
Lafayette city,Indiana,2011,38927
Muncie city,Indiana,2011,26913
South Bend city,Indiana,2011,31927
Cedar Rapids city,Iowa,2011,50528
Davenport city,Iowa,2011,41672
Des Moines city,Iowa,2011,41813
Iowa City city,Iowa,2011,41084
Sioux City city,Iowa,2011,37846
Waterloo city,Iowa,2011,36127
Kansas City city,Kansas,2011,37036
Lawrence city,Kansas,2011,43210
Olathe city,Kansas,2011,72449
Overland Park city,Kansas,2011,66544
Topeka city,Kansas,2011,36666
Wichita city,Kansas,2011,44184
Lexington-Fayette urban county,Kentucky,2011,47207
Louisville/Jefferson County metro government (balance),Kentucky,2011,42019
Baton Rouge city,Louisiana,2011,36894
Kenner city,Louisiana,2011,41128
Lafayette city,Louisiana,2011,41546
Lake Charles city,Louisiana,2011,32194
Metairie CDP,Louisiana,2011,49051
New Orleans city,Louisiana,2011,35041
Shreveport city,Louisiana,2011,36593
Portland city,Maine,2011,43788
Baltimore city,Maryland,2011,38721
Columbia CDP,Maryland,2011,94647
Ellicott City CDP,Maryland,2011,102589
Frederick city,Maryland,2011,61384
Germantown CDP,Maryland,2011,74918
Glen Burnie CDP,Maryland,2011,61386
Silver Spring CDP,Maryland,2011,70797
Waldorf CDP,Maryland,2011,85027
Boston city,Massachusetts,2011,49081
Brockton city,Massachusetts,2011,44786
Cambridge city,Massachusetts,2011,67886
Fall River city,Massachusetts,2011,34105
Framingham CDP,Massachusetts,2011,65144
Lawrence city,Massachusetts,2011,30705
Lowell city,Massachusetts,2011,51236
Lynn city,Massachusetts,2011,44296
New Bedford city,Massachusetts,2011,37737
Newton city,Massachusetts,2011,107577
Quincy city,Massachusetts,2011,61391
Somerville city,Massachusetts,2011,61241
Springfield city,Massachusetts,2011,32124
Worcester city,Massachusetts,2011,42718
Ann Arbor city,Michigan,2011,49219
Dearborn city,Michigan,2011,44623
Detroit city,Michigan,2011,25193
Farmington Hills city,Michigan,2011,71765
Flint city,Michigan,2011,23830
Grand Rapids city,Michigan,2011,36408
Kalamazoo city,Michigan,2011,30068
Lansing city,Michigan,2011,31975
Livonia city,Michigan,2011,65851
Rochester Hills city,Michigan,2011,71590
Southfield city,Michigan,2011,46842
Sterling Heights city,Michigan,2011,49865
Troy city,Michigan,2011,77734
Warren city,Michigan,2011,41658
Westland city,Michigan,2011,41790
Wyoming city,Michigan,2011,47372
Bloomington city,Minnesota,2011,59810
Brooklyn Park city,Minnesota,2011,55911
Duluth city,Minnesota,2011,40940
Minneapolis city,Minnesota,2011,46682
Plymouth city,Minnesota,2011,81438
Rochester city,Minnesota,2011,63713
St. Cloud city,Minnesota,2011,41407
St. Paul city,Minnesota,2011,42069
Gulfport city,Mississippi,2011,35471
Jackson city,Mississippi,2011,31370
Columbia city,Missouri,2011,45427
Independence city,Missouri,2011,41487
Kansas City city,Missouri,2011,43810
Lee's Summit city,Missouri,2011,72390
O'Fallon city,Missouri,2011,73669
St. Charles city,Missouri,2011,55781
St. Joseph city,Missouri,2011,39563
St. Louis city,Missouri,2011,32570
Springfield city,Missouri,2011,33391
Billings city,Montana,2011,43530
Missoula city,Montana,2011,36583
Lincoln city,Nebraska,2011,46670
Omaha city,Nebraska,2011,45536
Enterprise CDP,Nevada,2011,64608
Henderson city,Nevada,2011,60453
Las Vegas city,Nevada,2011,46995
North Las Vegas city,Nevada,2011,50006
Paradise CDP,Nevada,2011,40665
Reno city,Nevada,2011,44846
Sparks city,Nevada,2011,50568
Spring Valley CDP,Nevada,2011,47084
Sunrise Manor CDP,Nevada,2011,37947
Manchester city,New Hampshire,2011,51082
Nashua city,New Hampshire,2011,60923
Camden city,New Jersey,2011,21191
Clifton city,New Jersey,2011,59954
East Orange city,New Jersey,2011,30867
Elizabeth city,New Jersey,2011,41986
Jersey City city,New Jersey,2011,56843
Newark city,New Jersey,2011,31731
Passaic city,New Jersey,2011,29094
Paterson city,New Jersey,2011,32419
Toms River CDP,New Jersey,2011,71182
Trenton city,New Jersey,2011,36049
Union City city,New Jersey,2011,36597
Albuquerque city,New Mexico,2011,43606
Las Cruces city,New Mexico,2011,37576
Rio Rancho city,New Mexico,2011,52237
Santa Fe city,New Mexico,2011,46617
Albany city,New York,2011,37141
Buffalo city,New York,2011,29158
Cheektowaga CDP,New York,2011,47703
Mount Vernon city,New York,2011,50709
New Rochelle city,New York,2011,59120
New York city,New York,2011,49461
Rochester city,New York,2011,28963
Schenectady city,New York,2011,35488
Syracuse city,New York,2011,28817
Yonkers city,New York,2011,50656
Asheville city,North Carolina,2011,39082
Cary town,North Carolina,2011,82509
Charlotte city,North Carolina,2011,50177
Kent city,Washington,2011,56857
Renton city,Washington,2011,62800
Seattle city,Washington,2011,61037
Spokane city,Washington,2011,39999
Spokane Valley city,Washington,2011,46209
Tacoma city,Washington,2011,48402
Vancouver city,Washington,2011,48909
Yakima city,Washington,2011,36873
Appleton city,Wisconsin,2011,49274
Eau Claire city,Wisconsin,2011,42170
Green Bay city,Wisconsin,2011,41784
Kenosha city,Wisconsin,2011,46618
Madison city,Wisconsin,2011,53363
Milwaukee city,Wisconsin,2011,33122
Oshkosh city,Wisconsin,2011,39387
Racine city,Wisconsin,2011,38371
Waukesha city,Wisconsin,2011,55827
Caguas zona urbana,Puerto Rico,2011,18342
Carolina zona urbana,Puerto Rico,2011,25617
Guaynabo zona urbana,Puerto Rico,2011,42620
Ponce zona urbana,Puerto Rico,2011,16329
San Juan zona urbana,Puerto Rico,2011,21109
Concord city,North Carolina,2011,49637
Durham city,North Carolina,2011,43654
Fayetteville city,North Carolina,2011,43379
Gastonia city,North Carolina,2011,36881
Greensboro city,North Carolina,2011,39637
Greenville city,North Carolina,2011,33000
High Point city,North Carolina,2011,40693
Jacksonville city,North Carolina,2011,41987
Raleigh city,North Carolina,2011,52040
Wilmington city,North Carolina,2011,34695
Winston-Salem city,North Carolina,2011,37501
Fargo city,North Dakota,2011,44611
Akron city,Ohio,2011,31392
Canton city,Ohio,2011,26801
Cincinnati city,Ohio,2011,31301
Cleveland city,Ohio,2011,25371
Columbus city,Ohio,2011,40463
Dayton city,Ohio,2011,25434
Lorain city,Ohio,2011,33623
Parma city,Ohio,2011,46490
Toledo city,Ohio,2011,31090
Youngstown city,Ohio,2011,24006
Broken Arrow city,Oklahoma,2011,62532
Edmond city,Oklahoma,2011,66535
Lawton city,Oklahoma,2011,41783
Norman city,Oklahoma,2011,47815
Oklahoma City city,Oklahoma,2011,42995
Tulsa city,Oklahoma,2011,40123
Beaverton city,Oregon,2011,53914
Bend city,Oregon,2011,46459
Eugene city,Oregon,2011,37339
Gresham city,Oregon,2011,41056
Hillsboro city,Oregon,2011,65762
Medford city,Oregon,2011,36903
Portland city,Oregon,2011,47033
Salem city,Oregon,2011,43880
Allentown city,Pennsylvania,2011,30784
Bethlehem city,Pennsylvania,2011,45019
Erie city,Pennsylvania,2011,31901
Philadelphia city,Pennsylvania,2011,34207
Pittsburgh city,Pennsylvania,2011,35947
Reading city,Pennsylvania,2011,24682
Scranton city,Pennsylvania,2011,36219
Cranston city,Rhode Island,2011,54530
Pawtucket city,Rhode Island,2011,35311
Providence city,Rhode Island,2011,37856
Warwick city,Rhode Island,2011,60488
Charleston city,South Carolina,2011,49284
Columbia city,South Carolina,2011,39220
Mount Pleasant town,South Carolina,2011,69825
North Charleston city,South Carolina,2011,37049
Rock Hill city,South Carolina,2011,39299
Rapid City city,South Dakota,2011,44588
Sioux Falls city,South Dakota,2011,50470
Chattanooga city,Tennessee,2011,32791
Clarksville city,Tennessee,2011,42237
Jackson city,Tennessee,2011,33116
Knoxville city,Tennessee,2011,33726
Memphis city,Tennessee,2011,34960
Murfreesboro city,Tennessee,2011,44383
Nashville-Davidson metropolitan government (balance),Tennessee,2011,42639
Abilene city,Texas,2011,38403
Allen city,Texas,2011,102904
Amarillo city,Texas,2011,44563
Arlington city,Texas,2011,50655
Atascocita CDP,Texas,2011,78234
Austin city,Texas,2011,49987
Baytown city,Texas,2011,45624
Beaumont city,Texas,2011,36746
Brownsville city,Texas,2011,31850
